state,model,rmse,mae,mape,smape
Alabama,sarima,4384037.67822499,3196561.329670599,1.626683719440495,1.6196412325884548
Alabama,ets,3676355.576739979,2019257.5538698104,1.0156973049188935,1.0222291075356336
Alabama,xgboost,3873003.0446505966,2500862.960613947,1.2632144863407226,1.2664219392941585
Alabama,lstm,3744129.0912355385,2221756.674899661,1.1204939879544336,1.1253007701575775
Arizona,sarima,7176447.173660681,6027514.264317804,2.8039948992483956,2.7540661277926217
Arizona,ets,3361493.522705216,535268.0863629298,0.23055449814845252,0.2412589270366241
Arizona,xgboost,4741849.722079312,3030293.2796548964,1.3911400035606045,1.4138876865575878
Arizona,lstm,31334072.684254184,29148409.225160513,13.495236762648352,14.645462004465669
Arkansas,sarima,3468731.8865425903,2908702.056708657,2.7579569550775918,2.7107965379993875
Arkansas,ets,1693121.0436316316,708536.4550393474,0.654690915216525,0.6630488473737993
Arkansas,xgboost,2100017.761371315,1221771.0167736798,1.1287383788922805,1.1466660947468876
Arkansas,lstm,1683298.3274818782,773788.1471910102,0.7206076092193344,0.7263455715034721
California,sarima,11590491.129393572,7911200.866151563,0.9225116506111747,0.9214424344636262
California,ets,10043371.985675111,1909038.6168183002,0.2124227515277014,0.21855306814509276
California,xgboost,10199245.01833048,4399438.807203093,0.5058107114800814,0.5110357555541111
California,lstm,21664518.663545854,19690987.914024923,2.3120210681278324,2.284143479936674
Colorado,sarima,3629653.8815135076,2842758.1858753595,1.6652680924517012,1.6533261911370112
Colorado,ets,2598308.4023081213,452561.5808767868,0.2476047975987287,0.2577073085661122
Colorado,xgboost,2678170.023418358,989971.9840489583,0.5620624421279143,0.5725250547337978
Colorado,lstm,4640650.840091606,3516757.958888456,2.0481411043848023,2.083593268168166
Connecticut,sarima,3151060.555753372,2626818.753355975,3.1061908351975887,3.049896818548326
Connecticut,ets,1849063.4662510806,1141151.6035697837,1.328097558920971,1.3326882225681103
Connecticut,xgboost,1713986.513261638,827968.9254815408,0.950841141063417,0.9613538327608537
Connecticut,lstm,2013701.1207716237,1052837.6421749603,1.2082808293088438,1.233076339646057
Florida,sarima,19267675.252297405,13380477.06069231,1.8413013690429352,1.835971720196206
Florida,ets,17111386.72922588,9449891.29636089,1.2853701726836353,1.2948773263981415
Florida,xgboost,17110270.2435932,4894471.20266852,0.6392441876741479,0.661969734691844
Florida,lstm,235911187.55679417,208812929.54889652,29.16182268092578,24.641173181099262
Georgia,sarima,6483445.645585846,3396568.6548481393,0.9220651861647712,0.9279753094059778
Georgia,ets,6422506.779173033,1071235.4047526184,0.2709472427096403,0.28423642995454995
Georgia,xgboost,6594759.201025836,1603618.7689807394,0.4174939777299958,0.43103124572600926
Georgia,lstm,49938954.68987462,45511837.58254414,12.58753110939159,13.619951954062024
Illinois,sarima,8385932.827753584,6771833.380843921,2.179825949357022,2.155594239260441
Illinois,ets,5701589.368818163,3355400.0568874925,1.065520746795286,1.0701994422658083
Illinois,xgboost,5516021.478355943,1327913.119000819,0.40419195096219546,0.41737379512045875
Illinois,lstm,28288371.131074432,25374913.620003972,8.15902188473945,8.593396190511715
Indiana,sarima,4857065.7463159505,3888651.587273632,1.8175798160025673,1.8004812191046193
Indiana,ets,3160526.3435475207,570732.7250339815,0.2502798950514026,0.2598273837492055
Indiana,xgboost,3271724.318882812,882777.5149879584,0.3945808990156353,0.40443845708556503
Indiana,lstm,12451914.0953069,11341619.957323441,5.286841835074975,5.4593203823890795
Iowa,sarima,2677559.6785221016,2249535.7332346654,1.996852980676252,1.9693469284643694
Iowa,ets,909917.9890788225,187115.45257082875,0.1611363532521992,0.16414859653654904
Iowa,xgboost,1089311.9599502024,506252.39805377356,0.44321573333184355,0.44748487038193446
Iowa,lstm,5653405.265837503,5093054.331440606,4.513820027684566,4.391249732003352
Kansas,sarima,3048922.4500140054,2563410.67760946,2.931566032342872,2.8721442513932027
Kansas,ets,1044762.8566936139,659852.5863522163,0.7467299074206021,0.7481317321820206
Kansas,xgboost,1190059.0797668295,632229.3159109218,0.7098164444624085,0.718509040645079
Kansas,lstm,11231462.017874911,10558081.292435804,11.993211880250497,12.875007333790434
Kentucky,sarima,4600625.791257943,3742825.6516757943,2.2752403205913327,2.2472505083798677
Kentucky,ets,2804625.5135607715,1079572.921716449,0.6374628380084261,0.6474916186763204
Kentucky,xgboost,2893399.564715543,667901.6320626028,0.38306121931480475,0.3962380369435663
Kentucky,lstm,11587244.1371779,10234678.169261629,6.201469666355654,6.456174073336966
Louisiana,sarima,4721052.192006011,3642003.7655477263,2.074614588609673,2.057798076311247
Louisiana,ets,3551975.9988026675,557174.5665971121,0.28688404104430987,0.30412696417536156
Louisiana,xgboost,4411399.311223269,2065042.3494181405,1.152336922456805,1.1794856889627037
Louisiana,lstm,5753648.260614606,4064747.80439407,2.2965578379796745,2.3467777940231955
Maine,sarima,368749.74343783234,95646.63999904586,0.20157471522770498,0.20445765911146002
Maine,ets,373525.7568135406,90532.26131997656,0.19034171467206534,0.19324146315433657
Maine,xgboost,390308.46549981856,83844.03346709801,0.1755371930667018,0.17882444474217998
Maine,lstm,16725602.524590014,14689499.629735151,31.849089980076702,26.507604831920094
Maryland,sarima,3691820.659165961,2708817.9512089766,1.7359439779888173,1.726535862975851
Maryland,ets,3052781.9906707,1696871.3846583127,1.0741196660150352,1.0808100909430756
Maryland,xgboost,2952275.704257971,721074.3563001571,0.4368349667998446,0.45174340565140303
Maryland,lstm,17660142.607061323,16199735.463242386,10.424024804792733,11.110514998249878
Massachusetts,sarima,5276778.358257082,4265632.767391958,2.4165250737244452,2.3866239192890992
Massachusetts,ets,3413317.1214455427,591163.7631598769,0.3072581747359099,0.32304059436719756
Massachusetts,xgboost,3581763.7430026834,844360.2465288916,0.44983247356592043,0.46676395390285436
